web-scraper-order,web-scraper-start-url,all-sections,all-sections-href,link-name,link-name-href
"1763400607-1","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Eesti Antidopingu ja Spordieetika Sihtasutus","https://eadse.ee/"
"1763400607-2","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Spordiehitiste andmekoguEesti Spordiregister UUS!","https://www.spordiregister.ee/avalik/ehitised.php?ac=ehitised"
"1763400607-3","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Spordiklubid, spordikoolid, treenerid, spordialadEesti Spordiregister","http://www.spordiregister.ee/"
"1763400607-4","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Spordikoolituse ja -Teabe Sihtasutus","http://spordiinfo.ee/"
"1763400607-5","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Treenerikutse.eeTreenerikutse omamise kontroll","https://treenerikutse.ee/"
"1763400607-6","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","ERR SportEesti Rahvusringhääling","https://sport.err.ee/"
"1763400607-7","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Spordiuudiste portaalSport.postimees.ee","http://sport.postimees.ee/"
"1763400607-8","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Delfi Sport","https://sport.delfi.ee/"
"1763400607-9","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Tallinna spordiportaal","http://www.tallinn.ee/sport"
"1763400607-10","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Saaremaa spordiportaal","http://saaremaasport.ee/"
"1763400607-11","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Liigume.eeLiikumisharrastuse kompetentsikeskus","https://liigume.ee/"
"1763400607-12","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Minu sportlane (EOK fond)Ühisrahastusplatvorm Eesti sportlaste toetamiseks","https://minusportlane.ee/"
"1763400607-13","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Noored Olümpiale","http://www.nooredolumpiale.ee/"
"1763400607-14","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","SPIN-programm","http://www.spinprogramm.ee/"
"1763400607-15","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Spordin PuhtaltE-õppeprogramm harrastussportlastele","http://www.spordipuhtalt.ee/"
"1763400607-16","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Sportos.eeRahvaspordiüritused","http://www.sportos.eu/"
"1763400607-17","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","ChampionchipSpordivõistluste tulemused","http://www.championchip.ee/"
"1763400607-18","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","SekundomerSpordiportaal","http://www.sekundomer.ee/"
"1763400607-19","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Abja Spordi- ja Tervisekeskus","http://sport.abja.ee/"
"1763400607-20","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Alavere Spordiklubi","https://et-ee.facebook.com/alaverespordiklubi"
"1763400607-21","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Ambla Spordiklubi","http://www.amblask.ee/"
"1763400607-22","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Anija Valla SpordimaailmSpordikeskus","https://anijavallasport.ee/"
"1763400607-23","https://www.neti.ee/puu","Sport(1850)","https://www.neti.ee/teema/TERVIS/Sport","Aqva Spordikeskus","http://aqvaspordikeskus.ee/"
